algo.asNode(nodeId).Airport_name,centrality
Juan Gualberto Gomez International Airport,0.3126962323390895
Quebec Jean Lesage International Airport,0.3125735582581404
João Paulo II Airport,0.3125429047759145
Turin Airport,0.312328498627989
Ibiza Airport,0.3122672937487752
Stavanger Airport Sola,0.31223670030371314
Leeds Bradford Airport,0.31202271392206776
Belfast International Airport,0.31196162881754114
Split Airport,0.311839530332681
Dalaman International Airport,0.31174801917245426
London Stansted Airport,0.31171752738654146
Nuremberg Airport,0.31156515788444616
Sir Grantley Adams International Airport,0.31147380766223615
Sacramento International Airport,0.31147380766223615
Menara Airport,0.3114129372679304
Presidente Juscelino Kubistschek International Airport,0.31138251099169517
Deputado Luiz Eduardo Magalhães International Airport,0.31138251099169517
London City Airport,0.31135209066041425
Cork Airport,0.31135209066041425
Queen Beatrix International Airport,0.31135209066041425
Chişinău International Airport,0.31123046875
Memphis International Airport,0.3109571665528344
Norfolk International Airport,0.3109571665528344
Kunming Changshui International Airport,0.3108964979026436
Julius Nyerere International Airport,0.31074492979719187
Podgorica Airport,0.3104119996104023
V.C. Bird International Airport,0.3103817686014803
Aberdeen Dyce Airport,0.31035154348037786
Verona Villafranca Airport,0.31035154348037786
José Joaquín de Olmedo International Airport,0.31035154348037786
Kurumoch International Airport,0.31035154348037786
Peretola Airport,0.3102609034267913
Kigali International Airport,0.31017031630170316
Cape Town International Airport,0.3101099542668094
Jacksonville International Airport,0.30986874088478367
Ivato Airport,0.3098084961602022
Palm Beach International Airport,0.3098084961602022
Los Cabos International Airport,0.30968807696045086
Chania International Airport,0.30956775133559983
Albuquerque International Sunport,0.30953768453768454
Ioannis Kapodistrias International Airport,0.3094775684598951
Nadi International Airport,0.3094775684598951
Madeira Airport,0.3094775684598951
Es Senia Airport,0.3094475191766191
Mombasa Moi International Airport,0.3094475191766191
Hurghada International Airport,0.3093273803746482
Will Rogers World Airport,0.3092373374733165
Yangon International Airport,0.30920733482099544
Genoa Cristoforo Colombo Airport,0.30914734697836843
Gdańsk Lech Wałęsa Airport,0.3091173617846751
Kos Airport,0.3091173617846751
William P Hobby Airport,0.3091173617846751
Fuerteventura Airport,0.3090574088440652
Esenboğa International Airport,0.3090574088440652
Seychelles International Airport,0.3089974791545472
Louisville International Standiford Field,0.3089974791545472
Rotterdam The Hague Airport,0.30881782945736436
Djibouti-Ambouli Airport,0.3087579926370858
Lanzarote Airport,0.30869817900038743
Ibn Batouta Airport,0.30869817900038743
Shannon Airport,0.30860850198508766
Enfidha - Hammamet International Airport,0.3083696178035801
Krasnodar Pashkovsky International Airport,0.30830995453226273
Olbia Costa Smeralda Airport,0.308250314343747
Frank Pais International Airport,0.3080417552677363
Richmond International Airport,0.3079822187862389
Al Massira Airport,0.30780374734402166
Northwest Arkansas Regional Airport,0.30756610692916425
Liverpool John Lennon Airport,0.3075364276753836
Jersey Airport,0.3075067541489772
Ürümqi Diwopu International Airport,0.3073881172839506
Prince Mohammad Bin Abdulaziz Airport,0.3072399498698544
Brunei International Airport,0.3072399498698544
Kenneth Kaunda International Airport Lusaka,0.307210333526123
Charleston Air Force Base-International Airport,0.30703275529865126
Ngurah Rai (Bali) International Airport,0.3070031788845005
John Wayne Airport-Orange County Airport,0.30694404314745255
